"Date","Steps","Distance (mi)","Elevation (ft)","Calories"
"2015-04-15","25203","13.41","0","1054"
"2015-04-14","10157","5.38","0","414"
"2015-04-14","10541","5.83","0","435"
"2015-04-13","13154","7.13","0","536"
"2015-04-12","16891","9.41","0","706"
"2015-04-11","13834","7.48","0","570"
"2015-04-10","9793","5.34","0","403"
"2015-04-09","12490","7.46","0","617"
"2015-04-08","12127","6.69","0","505"
"2015-04-07","13088","7.25","0","548"
